KeyPoint0[pt={635,548}, size=7, angle=111]
KeyPoint1[pt={374,341}, size=6, angle=179]
KeyPoint2[pt={611,163}, size=7, angle=326]
KeyPoint3[pt={314,123}, size=5, angle=249]
KeyPoint4[pt={303,770}, size=5, angle=86]
KeyPoint5[pt={303,770}, size=7, angle=89]
KeyPoint6[pt={204,183}, size=7, angle=209]
KeyPoint7[pt={283,300}, size=5, angle=194]
KeyPoint8[pt={644,235}, size=7, angle=334]
KeyPoint9[pt={284,300}, size=8, angle=190]
KeyPoint10[pt={298,128}, size=5, angle=66]
KeyPoint11[pt={246,329}, size=7, angle=183]
KeyPoint12[pt={287,346}, size=7, angle=15]
KeyPoint13[pt={212,692}, size=8, angle=97]
KeyPoint14[pt={212,691}, size=5, angle=99]
KeyPoint15[pt={167,505}, size=5, angle=178]
KeyPoint16[pt={255,756}, size=7, angle=101]
KeyPoint17[pt={463,41}, size=9, angle=296]
KeyPoint18[pt={621,534}, size=6, angle=289]
KeyPoint19[pt={290,144}, size=6, angle=259]
KeyPoint20[pt={464,614}, size=6, angle=268]
KeyPoint21[pt={213,714}, size=6, angle=254]
KeyPoint22[pt={514,535}, size=5, angle=104]
KeyPoint23[pt={601,667}, size=8, angle=73]
KeyPoint24[pt={384,691}, size=6, angle=75]
KeyPoint25[pt={558,628}, size=6, angle=269]
KeyPoint26[pt={176,521}, size=7, angle=126]
KeyPoint27[pt={274,723}, size=6, angle=84]
KeyPoint28[pt={404,46}, size=5, angle=275]
KeyPoint29[pt={328,66}, size=7, angle=255]
KeyPoint30[pt={587,550}, size=6, angle=92]
KeyPoint31[pt={464,615}, size=9, angle=270]
KeyPoint32[pt={601,378}, size=7, angle=316]
KeyPoint33[pt={584,459}, size=5, angle=135]
KeyPoint34[pt={641,506}, size=7, angle=96]
KeyPoint35[pt={175,324}, size=6, angle=194]
KeyPoint36[pt={214,276}, size=6, angle=25]
KeyPoint37[pt={616,606}, size=7, angle=84]
KeyPoint38[pt={583,459}, size=8, angle=136]
KeyPoint39[pt={613,567}, size=7, angle=267]
KeyPoint40[pt={655,405}, size=6, angle=339]
KeyPoint41[pt={610,546}, size=6, angle=94]
KeyPoint42[pt={651,431}, size=5, angle=333]
KeyPoint43[pt={500,331}, size=7, angle=313]
KeyPoint44[pt={307,327}, size=6, angle=359]
KeyPoint45[pt={324,582}, size=5, angle=97]
KeyPoint46[pt={206,295}, size=9, angle=6]
KeyPoint47[pt={381,320}, size=8, angle=117]
KeyPoint48[pt={613,567}, size=5, angle=271]
KeyPoint49[pt={213,305}, size=7, angle=196]
KeyPoint50[pt={578,730}, size=7, angle=70]
KeyPoint51[pt={602,543}, size=6, angle=107]
KeyPoint52[pt={382,320}, size=6, angle=297]
KeyPoint53[pt={577,730}, size=5, angle=70]
KeyPoint54[pt={631,588}, size=9, angle=77]
KeyPoint55[pt={632,587}, size=9, angle=81]
KeyPoint56[pt={558,628}, size=5, angle=269]
KeyPoint57[pt={167,482}, size=7, angle=184]
KeyPoint58[pt={311,561}, size=5, angle=116]
KeyPoint59[pt={383,320}, size=9, angle=123]
KeyPoint60[pt={376,708}, size=5, angle=78]
KeyPoint61[pt={377,760}, size=7, angle=77]
KeyPoint62[pt={189,628}, size=7, angle=91]
KeyPoint63[pt={214,435}, size=5, angle=348]
KeyPoint64[pt={371,96}, size=5, angle=89]
KeyPoint65[pt={233,197}, size=6, angle=21]
KeyPoint66[pt={651,472}, size=7, angle=304]
KeyPoint67[pt={632,569}, size=6, angle=285]
KeyPoint68[pt={355,149}, size=7, angle=269]
KeyPoint69[pt={205,668}, size=6, angle=98]
KeyPoint70[pt={174,563}, size=7, angle=112]
KeyPoint71[pt={573,495}, size=6, angle=299]
KeyPoint72[pt={332,770}, size=5, angle=94]
KeyPoint73[pt={310,380}, size=6, angle=182]
KeyPoint74[pt={170,293}, size=6, angle=199]
KeyPoint75[pt={607,545}, size=7, angle=96]
KeyPoint76[pt={581,686}, size=6, angle=73]
KeyPoint77[pt={164,426}, size=8, angle=180]
KeyPoint78[pt={409,744}, size=6, angle=96]
KeyPoint79[pt={652,290}, size=7, angle=354]
KeyPoint80[pt={204,668}, size=7, angle=99]
KeyPoint81[pt={387,544}, size=9, angle=292]
KeyPoint82[pt={619,517}, size=6, angle=113]
KeyPoint83[pt={260,725}, size=6, angle=81]
KeyPoint84[pt={421,736}, size=5, angle=283]
KeyPoint85[pt={552,575}, size=7, angle=265]
KeyPoint86[pt={410,448}, size=5, angle=309]
KeyPoint87[pt={396,82}, size=8, angle=271]
KeyPoint88[pt={447,219}, size=8, angle=110]
KeyPoint89[pt={365,144}, size=6, angle=262]
KeyPoint90[pt={635,526}, size=7, angle=120]
KeyPoint91[pt={359,205}, size=7, angle=90]
KeyPoint92[pt={243,341}, size=7, angle=8]
KeyPoint93[pt={379,171}, size=6, angle=93]
KeyPoint94[pt={461,501}, size=5, angle=121]
KeyPoint95[pt={652,287}, size=5, angle=344]
KeyPoint96[pt={285,626}, size=5, angle=91]
KeyPoint97[pt={171,294}, size=6, angle=201]
KeyPoint98[pt={490,327}, size=6, angle=135]
KeyPoint99[pt={183,609}, size=8, angle=98]
